of America,of Amer
Gr,Growth
and,&
Ivy Science and Technology,American Funds Fundamental Invs
Alliance Bernstein,AllianceBernstein
JP Morgan,JPMorgan
Mid-cap,Mid cap
Rainier:,Rainier
Market,Mkt
small,sm
Institutional,Inst
Fidelity Fidelity,Fidelity
Retirement,Retirement
New York,NY
SSgA,State Street Global Advisor
Intermediate,interm
TRP,T. Rowe Price
AIMCO,Apartment Investment and Management Company
Advantage,Adv
BGI,Barclays Global Investors
PIMCO,Pacific Investment Management Company
Growth & Income,G/I
street,St
INTL,international
Inc,income
WFA,Wells Fargo Advantage
CL,class
GRTH & INC,G/I
Hi Inc Tr,HIGH INCOME TRUST
INT¡¯L,international
AND,&
MNGD,Managed
EMERG,Emerging
EQUIP&SYSTEM,Equip/Systems
ORDINARY,ord
LD,lord
SMCP,SMALL CAP
BLD,BLEND
MIDCP,MID CAP
NB,Neuberger Berman
Trust,Tr
TOUCHSTN,Touchstone
sc,Sands Capital
SEL,select
GR,growth
WA,western asset
GRTH,growth
CONS,consumer
INVST,invest
gr,grade
BD,bond
Biotechnology,BIOTECH
SVCS,service
GOVT,government
CAP,capital
MGR,manager
Export,exp
Appreciation,app
Retirement,rtmt
STRAT,Strategic
DIV & INC,Dividend & Income
COMP,Composite
NET,network
INFSTR,Infrastructure
LMP,Legg Mason Partners
COL/ACORN,Columbia Acorn
ALL/BERN,AllianceBernstein
ALLNZ,Allianz
WFA,Wells Fargo Advantage
EQ INC,Equity and Income
AFFILTD,Affiliated
VK,Van Kampen
DREY,Dreyfus
TMPL,TEMPLETON
DEV,Developing
Long-Term,LT
CALVERT SIF,Calvert Social Investment
MSIF,Morgan Stanley Inst
ABF,American Beacon
JBT,John Bean Technologies
State Street Global Advisors,SSgA
Artisan Midcap Value Fund,Artisan Midcap Value Fund
Principal Large Capital,Principal Large Cap
Marshall Small Cap,Marshall Small-Cap
Hartford Investment Financial Services,Hartford Fin l Svcs
Massachusetts Financial Services,MFS
Hartford Capital app Fund,Hartford Capital Appreciation
Vanguard Index Trust 500 Fund,Vanguard 500 Index
Putnam International Growth Fund PNPRX,Putnam International Growth Fund PNPRX
Barclays Global Investors LIFEPATH INDEX RETIREMENT,Barclays Global Investors LP Retire
Fifth Third LifeModel Mod Agg INSTL,Fifth Third LifeModel Mod Agrsv Instl
Vanguard Life Strategy,Vanguard LifeStrategy
Vanguard Mid Cap,Vanguard Mid Capitalization
Royce Value Plus Service,Royce Value Plus Svc
Fund Mutual Funds,
Fund Mutual Fund,
Pacific Investment Management Company,PIMCO
LOOMIS SAYLES INVT GRADE,Loomis Sayles Investment Grade
T. Rowe Price,T. Rowe Price Retirement
rtmt Income,

